Day,Reading1,Reading2,Reading3,Reading4,Reading5,Reading6,Reading7
4/1/2021,Isaiah 11:10-12:2,Genesis 7:11-8:3,Proverbs 10:1-22,,,,
4/2/2021,Isaiah 13:2-13,Genesis 8:4-21,Proverbs 10:31-11:12,,,,
4/3/2021,,1 Thessalonians 4:13-17,John 5:24-30,,,,
4/3/2021,,Hebrews 10:32-38,Mark 2:14-17,,,,
4/4/2021,,Hebrews 4:14-5:6,Mark 8:34-9:1,,,,
4/5/2021,Isaiah 14:24-32,Genesis 8:21-9:7,Proverbs 11:19-12:6,,,,
4/6/2021,Isaiah 25:1-9,Genesis 9:8-17,Proverbs 12:8-22,,,,
4/7/2021,Isaiah 26:21-27:9,Genesis 9:18-10:1,Proverbs 12:23-13:9,,,,
4/7/2021,,Hebrews 7:26-8:2,John 10:9-16,,,,
4/8/2021,Isaiah 28:14-22,Genesis 10:32-11:9,Proverbs 13:19-14:6,,,,
4/9/2021,Isaiah 29:13-23,Genesis 12:1-7,Proverbs 14:15-26,,,,
4/10/2021,,1 Corinthians 15:47-57,John 5:24-30,,,,
4/10/2021,,Hebrews 6:9-12,Mark 7:31-37,,,,
4/11/2021,,Ephesians 5:9-19,Matthew 4:25-5:12,,,,
4/11/2021,,Hebrews 6:13-20,Mark 9:17-31,,,,
4/12/2021,Isaiah 37:33-38:6,Genesis 13:12-18,Proverbs 14:27-15:4,,,,
4/13/2021,Isaiah 40:18-31,Genesis 15:1-15,Proverbs 15:7-19,,,,
4/14/2021,Isaiah 41:4-14,Genesis 17:1-9,Proverbs 15:20-16:9,,,,
4/15/2021,Isaiah 42:5-16,Genesis 18:20-33,Proverbs 16:17-17:17,,,,
4/16/2021,Isaiah 45:11-17,Genesis 22:1-18,Proverbs 17:17-18:5,,,,
4/17/2021,,Hebrews 9:1-7,Luke 10:38-42; 11:27-28,,,,
4/17/2021,,Hebrews 9:24-28,Mark 8:27-31,,,,
4/18/2021,,Galatians 3:23-29,Luke 7:36-50,,,,
4/18/2021,,Hebrews 9:11-14,Mark 10:32-45,,,,
4/19/2021,Isaiah 48:17-49:4,Genesis 27:1-41,Proverbs 19:16-25,,,,
4/20/2021,Isaiah 49:6-10,Genesis 31:3-16,Proverbs 21:3-21,,,,
4/21/2021,Isaiah 58:1-11,"Genesis 43:26-31, 45:1-16",Proverbs 21:23-22:4,,,,
4/22/2021,Isaiah 65:8-16,Genesis 46:1-7,Proverbs 23:15-24:5,,,,
4/23/2021,Isaiah 66:10-24,Genesis 49:33-50:26,Proverbs 31:8-31,,,,
4/23/2021,,Acts 12:1-11,John 15:17-16:2,,,,
4/24/2021,,Hebrews 12:28-13:8,John 11:1-45,,,,
4/25/2021,,1 Peter 5:6-14,Mark 6:7-13,,,,
4/25/2021,,Philippians 4:4-9,John 12:1-18,,,,
4/26/2021,,,Matthew 21:18-43,,,,
4/26/2021,Ezekiel 1:1-20,Exodus 1:1-20,Job 1:1-12,,,,
4/26/2021,,,Matthew 24:3-35,,,,
4/27/2021,,,Matthew 22:15-23:39,,,,
4/27/2021,Ezekiel 1:21-28,Exodus 2:5-10,Job 1:13-22,,,,
4/27/2021,,,Matthew 24:36-26:2,,,,
4/28/2021,,,John 12:17-50,,,,
4/28/2021,Ezekiel 2:3-3:3,Exodus 2:11-22,Job 2:1-10,,,,
4/28/2021,,,Matthew 26:6-16,,,,
4/29/2021,,,Luke 22:1-39,,,,
4/29/2021,Exodus 19:10-19,Job 38:1-23; 42:1-5,Isaiah 50:4-11,,,,
4/29/2021,,1 Corinthians 11:23-32,Matt. 26:2-20,John 13:3-17,Matt. 26:21-39,Luke 22:43-45, Matt. 26:40-27:2
4/30/2021,Exodus 33:11-23,Job 42:12-17,Isaiah 52:13-54:1,,,,
4/30/2021,,1 Corinthians 1:18-2:2,Matt. 27:1-38,Luke 23:39-43, Matt. 27:39-54,John 19:31-37,Matt. 27:55-61
5/1/2021,1 Corinthians 5:6-8, Galatians 3:13-14,Matthew 27:62-66,,,,
5/1/2021,Romans 6:3-11,Matthew 28:1-20,,,,,
5/2/2021,Acts 1:1-8,John 1:1-17,,,,,
5/3/2021,,John 20:19-25,,,,,
5/3/2021,Hebrews 13:7-16,Matthew 11:27-30,,,,,
5/3/2021,"Acts 1:12-17, 21-26",John 1:18-28,,,,,
5/4/2021,Acts 2:14-21,Luke 24:12-35,,,,,
5/5/2021,Acts 2:22-36,John 1:35-51,,,,,
5/6/2021,Acts 2:38-43,John 3:1-15,,,,,
5/7/2021,Galatians 1:11-19,John 10:1-9,,,,,
5/7/2021,Philippians 2:5-11,Luke 10:38-42; 11:27-28,,,,,
5/7/2021,Acts 3:1-8,John 2:12-22,,,,,
5/8/2021,1 John 1:1-7,John 19:25-27; 21:24-25,,,,,
5/8/2021,Acts 3:11-16,John 3:22-33,,,,,
5/9/2021,Acts 5:12-20,John 20:19-31,,,,,
5/10/2021,1 Corinthians 4:9-16,Matthew 13:54-58,,,,,
5/10/2021,Acts 3:19-26,John 2:1-11,,,,,
5/11/2021,Hebrews 7:26-8:2,Matthew 5:14-19,,,,,
5/11/2021,Acts 4:1-10,John 3:16-21,,,,,
5/12/2021,Acts 4:13-22,John 5:17-24,,,,,
5/13/2021,Acts 4:23-31,John 5:24-30,,,,,
5/14/2021,Acts 5:1-11,John 5:30-6:2,,,,,
5/15/2021,Acts 5:21-33,John 6:14-27,,,,,
5/16/2021,Acts 6:1-7,Mark 15:43-16:8,,,,,
5/17/2021,"Acts 6:8-7:5, 47-60",John 4:46-54,,,,,
5/18/2021,Acts 8:5-17,John 6:27-33,,,,,
5/19/2021,Acts 8:18-25,John 6:35-39,,,,,
5/20/2021,Acts 8:26-39,John 6:40-44,,,,,
5/21/2021,"Acts 26:1-5, 12-20",John 10:1-9,,,,,
5/21/2021,Acts 8:40-9:19,John 6:48-54,,,,,
5/22/2021,Acts 9:20-31,John 15:17-16:2,,,,,
5/23/2021,Acts 9:32-42,John 5:1-15,,,,,
5/24/2021,Acts 10:1-16,John 6:56-69,,,,,
5/25/2021,2 Corinthians 4:6-15,Matthew 11:2-15,,,,,
5/25/2021,Acts 10:21-33,John 7:1-13,,,,,
5/26/2021,Acts 14:6-18,John 7:14-30,,,,,
5/26/2021,Hebrews 2:11-18,John 5:1-4,,,,,
5/27/2021,Acts 10:34-43,John 8:12-20,,,,,
5/28/2021,Acts 10:44-11:10,John 8:21-30,,,,,
5/29/2021,Acts 12:1-11,John 8:31-42,,,,,
5/30/2021,"Acts 11:19-26, 29-30",John 4:5-42,,,,,
5/31/2021,Acts 12:12-17,John 8:42-51,,,,,
6/1/2021,Acts 12:25-13:12,John 8:51-59,,,,,
6/2/2021,Acts 13:13-24,John 6:5-14,,,,,
6/3/2021,Acts 14:20-27,John 9:39-10:9,,,,,
